Saya melihat diri sebagai seorang yang ....,,,,,,,,,,
(1).,akan berfikir terlebih dahulu dan melihat sesuatu perkara dari pelbagai aspek sebelum memberikan jawapan.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(2).,berpegang kepada prinsip bahawa kebanyakan orang yang ditemui tidak boleh dipercayai.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(3).,sering berasa rendah diri dengan kehebatan orang lain apabila berada di majlis yang dihadiri oleh orang kenamaan.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(4).,sedia berpura-pura baik dengan orang lain bagi mengekalkan suasana yang harmoni.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(5).,"selalu bertindak secara spontan dan pernah melakukan perkara yang boleh dianggap sebagai ""bodoh"".",,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(6).,mempunyai kepercayaan bahawa kebanyakan orang yang berbuat baik apabila berurusan dengan saya adalah individu yang ikhlas.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(7).,jarang mengambil hati dengan tindakan individu yang cuba mencemuh atau mempermainkan saya.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(8).,berasa bangga mempunyai kebijaksanaan dalam mengendalikan hubungan dengan orang lain sehingga mereka boleh menuruti permintaan saya.,,,,,,,,,
,,,,,,,,,,
